District,Region,AC Name,AC No,AC_Type,Year,Rank,Candidate Name,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Voteshare Percentage,Margin Per,Margin
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,7,AVTAR SINGH,Akhand Bharat Vikas Party,398,,293112,445458,65.8,0.14,48.71755506,142797
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,8,RITA,Bahujan Mukti Party,360,,293112,445458,65.8,0.12,48.73051939,142835
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,9,USMAN MALIK,AAAP,287,,293112,445458,65.8,0.1,48.75542455,142908
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,10,SANJAY KUMAR,IND,206,,293112,445458,65.8,0.07,48.78305904,142989
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,11,KAMROODDIN,Sanyukt Vikas Party,168,,293112,445458,65.8,0.06,48.79602336,143027
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,12,SALLOUDEEN RAJA,Lok Dal,153,,293112,445458,65.8,0.05,48.80114086,143042
SAHARANPUR,Pashchimanchal,SAHARANPUR NAGAR,3,GEN,2022,13,PULKIT THAKRAL,IND,104,,293112,445458,65.8,0.04,48.81785802,143091
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,1,Ashu Malik,SP,107007,,259855,358965,72.39,41.18,-11.83159839,-30745
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,2,JAGPAL SINGH,BJP,76262,,259855,358965,72.39,29.35,11.83159839,30745
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,3,Ajab Singh,BSP,62637,,259855,358965,72.39,24.1,17.07490716,44370
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,4,Margoob,AIMIM,8187,,259855,358965,72.39,3.15,38.02890073,98820
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,5,QURBAN,ASPKR,1764,,259855,358965,72.39,0.68,40.50066383,105243
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,6,SANDEEP KUMAR,INC,1217,,259855,358965,72.39,0.47,40.71116584,105790
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,7,None Of The Above,NOTA,923,,259855,358965,72.39,0.36,40.82430586,106084
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,8,Yogesh Dahiya,AAAP,476,,259855,358965,72.39,0.18,40.99632487,106531
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,9,SHABREJ,IND,377,,259855,358965,72.39,0.15,41.03442304,106630
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,10,LOKESH KUMAR,IND,349,,259855,358965,72.39,0.13,41.04519828,106658
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,11,RIYASAT,Aamjan Ekta Party,191,,259855,358965,72.39,0.07,41.10600142,106816
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,12,RAJITA,IND,177,,259855,358965,72.39,0.07,41.11138904,106830
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,13,VAHID ALI KHAN,Log Party,126,,259855,358965,72.39,0.05,41.13101537,106881
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,14,PINKI KUMARI,IND,84,,259855,358965,72.39,0.03,41.14717823,106923
SAHARANPUR,Pashchimanchal,SAHARANPUR,4,GEN,2022,15,MEWA LAL,Bharatrashtra Democratic Party,78,,259855,358965,72.39,0.03,41.14948721,106929
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,1,BRIJESH,BJP,93890,,242193,349384,69.32,38.77,-2.933197904,-7104
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,2,Kartikey Rana,SP,86786,,242193,349384,69.32,35.83,2.933197904,7104
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,3,CHOUDHARY RAJENDRA SINGH,BSP,52732,,242193,349384,69.32,21.77,16.99388504,41158
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,4,UMAIR MADANI,AIMIM,3501,,242193,349384,69.32,1.45,37.32106213,90389
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,5,YOGESH PRATAP SINGH,ASPKR,1848,,242193,349384,69.32,0.76,38.00357566,92042
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,6,RAHAT KHALIL,INC,1096,,242193,349384,69.32,0.45,38.31407184,92794
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,7,None Of The Above,NOTA,729,,242193,349384,69.32,0.3,38.46560388,93161
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,8,VIJENDRA,IND,616,,242193,349384,69.32,0.25,38.51226088,93274
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,9,NAUSHAD,Sanyukt Vikas Party,488,,242193,349384,69.32,0.2,38.5651113,93402
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,10,JAHEER,Jansatta Party,264,,242193,349384,69.32,0.11,38.65759952,93626
SAHARANPUR,Pashchimanchal,DEOBAND,5,GEN,2022,11,PRAVEEN KUMAR DHIMAN,AAAP,243,,242193,349384,69.32,0.1,38.66627029,93647
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,1,Devender Kumar Nim,BJP,89109,,232233,324347,71.6,38.37,-8.867387494,-20593
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,2,RAVINDRA KUMAR,BSP,68516,,232233,324347,71.6,29.5,8.867387494,20593
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,3,VIVEK KANT,RLD,64864,,232233,324347,71.6,27.93,10.43994609,24245
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,4,BRIJPAL SINGH,ASPKR,4606,,232233,324347,71.6,1.98,36.38716289,84503
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,5,OMPAL SINGH,INC,1544,,232233,324347,71.6,0.66,37.70566629,87565
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,6,D. P. SINGH,Bahujan Mukti Party,1174,,232233,324347,71.6,0.51,37.86498904,87935
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,7,SACHIN KUMAR,India Janshakti Party,929,,232233,324347,71.6,0.4,37.97048654,88180
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,8,None Of The Above,NOTA,670,,232233,324347,71.6,0.29,38.08201246,88439
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,9,ARVIND KUMAR,AAAP,573,,232233,324347,71.6,0.25,38.12378086,88536
SAHARANPUR,Pashchimanchal,RAMPUR MANIHARAN,6,SC,2022,10,JAI PAL SINGH,Lok Dal,248,,232233,324347,71.6,0.11,38.26372652,88861
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,1,KIRAT SINGH,BJP,116582,,270590,386557,70,43.08,-8.665878266,-23449
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,2,INDER SAIN,SP,93133,,270590,386557,70,34.42,8.665878266,23449
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,3,NOMAN MASOOD,BSP,55078,,270590,386557,70,20.35,22.72959089,61504
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,4,MAUSAM ALI RANA,ASPKR,2617,,270590,386557,70,0.97,42.11722532,113965
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,5,ASHOK KUMAR SAINI,INC,1936,,270590,386557,70,0.72,42.36889759,114646
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,6,None Of The Above,NOTA,604,,270590,386557,70,0.22,42.86115525,115978
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,7,VAKAR AZHAR,Bahujan Mukti Party,364,,270590,386557,70,0.13,42.94985033,116218
SAHARANPUR,Pashchimanchal,GANGOH,7,GEN,2022,8,RAJVEER,IND,276,,270590,386557,70,0.1,42.98237185,116306
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,1,Nahid Hasan,SP,131035,,241947,322552,75.01,54.16,-10.69945071,-25887
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,2,MRIGANKA SINGH,BJP,105148,,241947,322552,75.01,43.46,10.69945071,25887
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,3,RAJENDERA,BSP,2077,,241947,322552,75.01,0.86,53.30010292,128958
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,4,AKHLAK,INC,1522,,241947,322552,75.01,0.63,53.529492,129513
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,5,None Of The Above,NOTA,593,,241947,322552,75.01,0.25,53.91346039,130442
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,6,SETHPAL,IND,409,,241947,322552,75.01,0.17,53.9895101,130626
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,7,HARUN ALI,IND,315,,241947,322552,75.01,0.13,54.02836158,130720
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,8,ISRAR,IND,272,,241947,322552,75.01,0.11,54.04613407,130763
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,9,DEVI SINGH,ASPKR,248,,241947,322552,75.01,0.1,54.0560536,130787
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,10,VIJAY KUMAR,IND,186,,241947,322552,75.01,0.08,54.08167905,130849
PRABUDDHA NAGAR,Pashchimanchal,KAIRANA,8,GEN,2022,11,SANGEETA,AAAP,142,,241947,322552,75.01,0.06,54.09986485,130893
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,1,Ashraf Ali Khan,RLD,103751,,218541,322046,67.86,47.47,-4.944609936,-10806
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,2,Suresh Kumar,BJP,92945,,218541,322046,67.86,42.53,4.944609936,10806
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,3,Zaheer Malik,BSP,11039,,218541,322046,67.86,5.05,42.42316087,92712
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,4,Sherpal Urf Sudhir Urf Sher Singh,IND,3975,,218541,322046,67.86,1.82,45.65550629,99776
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,5,Rakesh Kumar,ASPKR,3188,,218541,322046,67.86,1.46,46.01562178,100563
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,6,Satya Sanyam Bhuryan,INC,793,,218541,322046,67.86,0.36,47.11152598,102958
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,7,None Of The Above,NOTA,789,,218541,322046,67.86,0.36,47.1133563,102962
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,8,Saddam,SDPI,703,,218541,322046,67.86,0.32,47.15270819,103048
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,9,Arvind Deshwal,AAAP,674,,218541,322046,67.86,0.31,47.16597801,103077
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,10,Rama Adil,IND,359,,218541,322046,67.86,0.16,47.31011572,103392
PRABUDDHA NAGAR,Pashchimanchal,THANA BHAWAN,9,GEN,2022,11,Ikram,AIMIM,325,,218541,322046,67.86,0.15,47.32567344,103426
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,1,Persann Kumar,RLD,103070,,210952,312151,67.58,48.86,-3.369012856,-7107
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,2,Tejendra Singh,BJP,95963,,210952,312151,67.58,45.49,3.369012856,7107
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,3,Bijendra,BSP,8183,,210952,312151,67.58,3.88,44.98037468,94887
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,4,None Of The Above,NOTA,799,,210952,312151,67.58,0.38,48.48069703,102271
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,5,Mohmmad Ayub Jang,INC,780,,210952,312151,67.58,0.37,48.48970382,102290
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,6,Asim,IND,642,,210952,312151,67.58,0.3,48.55512154,102428
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,7,Lalit Kumar,IND,498,,210952,312151,67.58,0.24,48.62338352,102572
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,8,Sunita Devi,Sarvjan Lok Shakti Party,439,,210952,312151,67.58,0.21,48.65135197,102631
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,9,Bijendra,AAAP,258,,210952,312151,67.58,0.12,48.73715348,102812
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,10,Dhurendar Singh,IND,222,,210952,312151,67.58,0.11,48.75421897,102848
PRABUDDHA NAGAR,Pashchimanchal,SHAMLI,10,GEN,2022,11,Ajay,IND,98,,210952,312151,67.58,0.05,48.81300011,102972
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,1,Rajpal Singh Baliyan,RLD,131093,,255624,377416,67.73,51.28,-11.07485995,-28310
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,2,Umesh Malik,BJP,102783,,255624,377416,67.73,40.21,11.07485995,28310
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,3,Anees,BSP,10397,,255624,377416,67.73,4.07,47.21622383,120696
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,4,Bheem Singh,AIMIM,2633,,255624,377416,67.73,1.03,50.25349732,128460
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,5,Devendra Kumar,INC,2452,,255624,377416,67.73,0.96,50.32430445,128641
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,6,Saleem,ASPKR,2099,,255624,377416,67.73,0.82,50.4623979,128994
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,7,None Of The Above,NOTA,1070,,255624,377416,67.73,0.42,50.86494226,130023
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,8,Devendra Malik Pahalwan,AAAP,1041,,255624,377416,67.73,0.41,50.87628705,130052
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,9,Anu Kumar,IND,810,,255624,377416,67.73,0.32,50.96665415,130283
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,10,Rajendra Kumar,IND,681,,255624,377416,67.73,0.27,51.01711889,130412
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,11,Arvind Kumar,IND,322,,255624,377416,67.73,0.13,51.15755954,130771
MUZAFFARNAGAR,Pashchimanchal,BUDHANA,11,GEN,2022,12,Captain Neel Kumar,Jai Samta Party,243,,255624,377416,67.73,0.1,51.18846431,130850
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,1,Pankaj Kumar Malik,SP,97363,,222190,331379,67.05,43.82,-2.400648094,-5334
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,2,Sapna Kashyap,BJP,92029,,222190,331379,67.05,41.42,2.400648094,5334
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,3,Salman Sayeed,BSP,25131,,222190,331379,67.05,11.31,32.50911382,72232
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,4,Tahir Husain Ansari,AIMIM,3234,,222190,331379,67.05,1.46,42.36419281,94129
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,5,Yasmeen Rao,INC,965,,222190,331379,67.05,0.43,43.38539088,96398
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,6,None Of The Above,NOTA,878,,222190,331379,67.05,0.4,43.42454656,96485
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,7,Tarun Singh,ASPKR,674,,222190,331379,67.05,0.3,43.51635987,96689
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,8,Chanderveer,IND,435,,222190,331379,67.05,0.2,43.62392547,96928
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,9,Kapil Kumar,RSPS,367,,222190,331379,67.05,0.17,43.65452991,96996
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,10,Saleem Malik,IND,347,,222190,331379,67.05,0.16,43.66353121,97016
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,11,Abhishek,IND,337,,222190,331379,67.05,0.15,43.66803186,97026
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,12,Ajay Kashyap,IND,208,,222190,331379,67.05,0.09,43.72609028,97155
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,13,Sangeeta,Jai Samta Party,125,,222190,331379,67.05,0.06,43.7634457,97238
MUZAFFARNAGAR,Pashchimanchal,CHARTHAWAL,12,GEN,2022,14,Yawar Roshan,AAAP,97,,222190,331379,67.05,0.04,43.77604753,97266
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,1,Anil Kumar,RLD,92672,,215085,329884,65.2,43.09,-3.036938885,-6532
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,2,Pramod Utwal,BJP,86140,,215085,329884,65.2,40.05,3.036938885,6532
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,3,Surendra Pal Singh,BSP,27778,,215085,329884,65.2,12.91,30.17132761,64894
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,4,Uma Kiran,ASPKR,2321,,215085,329884,65.2,1.08,42.00711347,90351
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,5,Deepak Kumar,INC,1762,,215085,329884,65.2,0.82,42.26701072,90910
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,6,None Of The Above,NOTA,921,,215085,329884,65.2,0.43,42.65801892,91751
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,7,Mukesh Kumar,IND,884,,215085,329884,65.2,0.41,42.67522142,91788
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,8,Kavita,Bahujan Mukti Party,689,,215085,329884,65.2,0.32,42.76588326,91983
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,9,Neelam Devi,IND,646,,215085,329884,65.2,0.3,42.78587535,92026
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,10,Anil Kumar,AAAP,592,,215085,329884,65.2,0.28,42.8109817,92080
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,11,Suneel Kumar,IND,353,,215085,329884,65.2,0.16,42.92210056,92319
MUZAFFARNAGAR,Pashchimanchal,PURQAZI,13,SC,2022,12,Sunita,Majdoor Kisan Union Party,327,,215085,329884,65.2,0.15,42.93418881,92345
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,1,Kapil Dev Agarwal,BJP,111794,,225543,360349,62.59,49.57,-8.288441672,-18694
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,2,SAURABH,RLD,93100,,225543,360349,62.59,41.28,8.288441672,18694
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,3,PUSPANKAR DEEPAK,BSP,10733,,225543,360349,62.59,4.76,44.80786369,101061
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,4,MOHAMMED INTEZAR,AIMIM,3750,,225543,360349,62.59,1.66,47.90394736,108044
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,5,SUBHODH SHARMA,INC,1694,,225543,360349,62.59,0.75,48.8155252,110100
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,6,Dharmendra Kumar,IND,848,,225543,360349,62.59,0.38,49.19061997,110946
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,7,Parvez Alam,ASPKR,725,,225543,360349,62.59,0.32,49.24515503,111069
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,8,None Of The Above,NOTA,675,,225543,360349,62.59,0.3,49.26732375,111119
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,9,Abha Sharma,AAAP,495,,225543,360349,62.59,0.22,49.34713115,111299
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,10,Raj Kishor Garg,IND,410,,225543,360349,62.59,0.18,49.38481797,111384
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,11,RAJNISH,RSPS,394,,225543,360349,62.59,0.17,49.39191196,111400
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,12,Rahul Kumar Jain,IND,301,,225543,360349,62.59,0.13,49.43314579,111493
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,13,SAMEY SINGH,IND,210,,225543,360349,62.59,0.09,49.47349286,111584
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,14,Krishan Pal,Bharat Lok Sewak Party,171,,225543,360349,62.59,0.08,49.49078446,111623
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,15,Neeraj Goyal,IND,141,,225543,360349,62.59,0.06,49.5040857,111653
MUZAFFARNAGAR,Pashchimanchal,MUZAFFARNAGAR,14,GEN,2022,16,LALIT KUMAR,IND,102,,225543,360349,62.59,0.05,49.5213773,111692
MUZAFFARNAGAR,Pashchimanchal,KHATAULI,15,GEN,2022,1,VIKRAM SINGH,BJP,100651,,221969,318692,69.65,45.34,-7.363640869,-16345
MUZAFFARNAGAR,Pashchimanchal,KHATAULI,15,GEN,2022,2,RAJPAL SINGH SAINI,RLD,84306,,221969,318692,69.65,37.98,7.363640869,16345
MUZAFFARNAGAR,Pashchimanchal,KHATAULI,15,GEN,2022,3,KARTAR SINGH BHADANA,BSP,31412,,221969,318692,69.65,14.15,31.19309453,69239
MUZAFFARNAGAR,Pashchimanchal,KHATAULI,15,GEN,2022,4,GAURAV KUMAR URF GAURAV BHATI,INC,1209,,221969,318692,69.65,0.54,44.79994954,99442
MUZAFFARNAGAR,Pashchimanchal,KHATAULI,15,GEN,2022,5,MANOJ PANWAR,ASPKR,843,,221969,318692,69.65,0.38,44.96483743,99808
